Gene,logFC,t_stat,p_value,q_value
1554814_at,,0.0,1.0,1.0
1554819_a_at,,0.0,1.0,1.0
1554821_a_at,,0.0,1.0,1.0
1554824_at,,0.0,1.0,1.0
1554830_a_at,,0.0,1.0,1.0
1554834_a_at,,0.0,1.0,1.0
1554835_a_at,,0.0,1.0,1.0
1554841_at,,0.0,1.0,1.0
1554842_at,,0.0,1.0,1.0
1554847_at,,0.0,1.0,1.0
1554852_a_at,,0.0,1.0,1.0
1554863_s_at,,0.0,1.0,1.0
1554868_s_at,,0.0,1.0,1.0
1554873_at,,0.0,1.0,1.0
1554878_a_at,,0.0,1.0,1.0
1554883_a_at,,0.0,1.0,1.0
1554885_a_at,,0.0,1.0,1.0
1554889_at,,0.0,1.0,1.0
1554890_a_at,,0.0,1.0,1.0
1554894_a_at,,0.0,1.0,1.0
1554897_s_at,,0.0,1.0,1.0
1554899_s_at,,0.0,1.0,1.0
1554906_a_at,,0.0,1.0,1.0
1554915_a_at,,0.0,1.0,1.0
1554918_a_at,,0.0,1.0,1.0
1554919_s_at,,0.0,1.0,1.0
1554920_at,,0.0,1.0,1.0
1554930_a_at,,0.0,1.0,1.0
1554933_at,,0.0,1.0,1.0
1554948_at,,0.0,1.0,1.0
1554963_at,,0.0,1.0,1.0
1554964_x_at,,0.0,1.0,1.0
1554966_a_at,,0.0,1.0,1.0
1554973_a_at,,0.0,1.0,1.0
1554980_a_at,,0.0,1.0,1.0
1554985_at,,0.0,1.0,1.0
1554997_a_at,,0.0,1.0,1.0
1555003_at,,0.0,1.0,1.0
1555004_a_at,,0.0,1.0,1.0
1555014_x_at,,0.0,1.0,1.0
1555015_a_at,,0.0,1.0,1.0
1555037_a_at,,0.0,1.0,1.0
1555041_a_at,,0.0,1.0,1.0
1555058_a_at,,0.0,1.0,1.0
1555065_x_at,,0.0,1.0,1.0
1555082_a_at,,0.0,1.0,1.0
1555086_at,,0.0,1.0,1.0
1555088_x_at,,0.0,1.0,1.0
1555105_a_at,,0.0,1.0,1.0
1555106_a_at,,0.0,1.0,1.0
1555125_at,,0.0,1.0,1.0
1555136_at,,0.0,1.0,1.0
1555137_a_at,,0.0,1.0,1.0
1555153_s_at,,0.0,1.0,1.0
1555154_a_at,,0.0,1.0,1.0
1555167_s_at,,0.0,1.0,1.0
1555173_at,,0.0,1.0,1.0
1555181_a_at,,0.0,1.0,1.0
1555192_at,,0.0,1.0,1.0
1555193_a_at,,0.0,1.0,1.0
